xc yc W eW
-1.05 -0.35 0.0859375 0.019093
-1.05 -0.33 0.102273 0.0206644
-1.05 -0.31 0.134058 0.0234698
-1.05 -0.29 0.145522 0.0249402
-1.05 -0.27 0.105085 0.0198407
-1.05 -0.25 0.128405 0.0237441
-1.05 -0.23 0.152 0.0264654
-1.05 -0.21 0.123188 0.0223901
-1.05 -0.19 0.101167 0.02082
-1.05 -0.17 0.125 0.0227377
-1.05 -0.15 0.124498 0.0237116
-1.05 -0.13 0.129278 0.0235605
-1.05 -0.11 0.0753968 0.0179374
-1.05 -0.09 0.101083 0.0200451
-1.05 -0.07 0.111111 0.0213833
-1.05 -0.05 0.111969 0.0219253
-1.05 -0.03 0.145749 0.0260015
-1.05 -0.01 0.114943 0.0221588
-1.05 0.01 0.12782 0.0232797
-1.05 0.03 0.109804 0.0218606
-1.05 0.05 0.116 0.0227557
-1.05 0.07 0.110749 0.0200175
-1.05 0.09 0.0916335 0.0199631
-1.05 0.11 0.116788 0.0218177
-1.05 0.13 0.119134 0.0219391
-1.05 0.15 0.125926 0.0229156
-1.05 0.17 0.12782 0.0232797
-1.05 0.19 0.131579 0.0236589
-1.05 0.21 0.143369 0.0242392
-1.05 0.23 0.133333 0.0236574
-1.05 0.25 0.096 0.020515
-1.05 0.27 0.180451 0.0282985
-1.05 0.29 0.126712 0.0221118
-1.05 0.31 0.106667 0.0229051
-1.05 0.33 0.0858209 0.018647
-1.05 0.35 0.129825 0.0226862
-1.05 0.37 0.166023 0.0273393
-1.05 0.39 0.168498 0.0268553
-1.05 0.41 0.106464 0.0211637
-1.05 0.43 0.143426 0.0255612
-1.05 0.45 0.163636 0.0294196
-1.05 0.47 0.171315 0.0282747
-1.05 0.49 0.120332 0.0236513
-1.05 0.51 0.177489 0.0300787
-1.05 0.53 0.16 0.027247
-1.05 0.55 0.157258 0.0270892
-1.05 0.57 0.128514 0.024134
-1.05 0.59 0.159483 0.0282322
-1.05 0.61 0.107884 0.0222698
-1.05 0.63 0.127907 0.0236469
-1.05 0.65 0.0915493 0.0187582
-1.05 0.67 0.0864662 0.0187928
-1.05 0.69 0.0742188 0.0176475
-1.05 0.71 0.111511 0.0211151
-1.05 0.73 0.12605 0.024421
-1.05 0.75 0.138686 0.0240073
-1.05 0.77 0.132743 0.025794
-1.05 0.79 0.157658 0.0286729
-1.05 0.81 0.0983607 0.0210421
-1.03 -0.43 0.119691 0.0227473
-1.03 -0.41 0.146718 0.0254871
-1.03 -0.39 0.0923695 0.0201303
-1.03 -0.37 0.130952 0.0242426
-1.03 -0.35 0.0851064 0.0180964
-1.03 -0.33 0.13879 0.0237163
-1.03 -0.31 0.140562 0.0253743
-1.03 -0.29 0.145594 0.0252794
-1.03 -0.27 0.117647 0.0227077
-1.03 -0.25 0.097973 0.0190635
-1.03 -0.23 0.111111 0.0210356
-1.03 -0.21 0.122807 0.0219959
-1.03 -0.19 0.137546 0.0241175
-1.03 -0.17 0.123188 0.0223901
-1.03 -0.15 0.133603 0.0247623
-1.03 -0.13 0.118321 0.0224731
-1.03 -0.11 0.131868 0.0233823
-1.03 -0.09 0.151751 0.0260783
-1.03 -0.07 0.120623 0.0229339
-1.03 -0.05 0.109848 0.0214895
-1.03 -0.03 0.165354 0.0275436
-1.03 -0.01 0.161417 0.0271677
-1.03 0.01 0.127413 0.0235504
-1.03 0.03 0.138462 0.0246228
-1.03 0.05 0.140684 0.0247018
-1.03 0.07 0.108209 0.0211531
-1.03 0.09 0.101818 0.0201977
-1.03 0.11 0.13806 0.024213
-1.03 0.13 0.101083 0.0200451
-1.03 0.15 0.122449 0.0236852
-1.03 0.17 0.0862069 0.0179692
-1.03 0.19 0.0761246 0.0168362
-1.03 0.21 0.182186 0.0295292
-1.03 0.23 0.176245 0.028183
-1.03 0.25 0.128676 0.0231073
-1.03 0.27 0.109489 0.0210558
-1.03 0.29 0.0896057 0.0187068
-1.03 0.31 0.102767 0.0211645
-1.03 0.33 0.118705 0.021856
-1.03 0.35 0.113475 0.0211673
-1.03 0.37 0.0982456 0.0194574
-1.03 0.39 0.129032 0.0242369
-1.03 0.41 0.0855019 0.0185749
-1.03 0.43 0.129032 0.0242369
-1.03 0.45 0.148148 0.0250995
-1.03 0.47 0.137615 0.026798
-1.03 0.49 0.0854093 0.0181634
-1.03 0.51 0.114625 0.0224721
-1.03 0.53 0.136929 0.025416
-1.03 0.55 0.121094 0.0230283
-1.03 0.57 0.105469 0.021341
-1.03 0.59 0.104 0.0214304
-1.03 0.61 0.144531 0.02542
-1.03 0.63 0.137795 0.0248446
-1.03 0.65 0.1375 0.0255283
-1.03 0.67 0.121771 0.0224512
-1.03 0.69 0.0836364 0.018154
-1.03 0.71 0.0916031 0.019536
-1.03 0.73 0.0886076 0.0201742
-1.03 0.75 0.102041 0.0214241
-1.03 0.77 0.1 0.0201843
-1.03 0.79 0.136564 0.0261488
